Building,Room,Type,Capacity,Equipment_Tier,Special_Features,Similar_Venues,Front_Image,Rear_Image
1,G01,Flat Room - Tables and Chairs,16,Standard AV Equipment - Computer and Projector/Screen,,"1-G02, 1-G03",https://ltc.uow.edu.au/theatres/images/1-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G01-R.JPG
1,G02,Flat Room - Tables and Chairs,22,Standard AV Equipment - Computer and Projector/Screen,,"1-G01, 1-G03",https://ltc.uow.edu.au/theatres/images/1-G02-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G02-R.JPG
1,G03,Flat Room - Tables and Chairs,22,Standard AV Equipment - Computer and Projector/Screen,"Video Conference Facilities - Document Camera,","1-G01, 1-G02",https://ltc.uow.edu.au/theatres/images/1-G03-F.JPG,https://ltc.uow.edu.au/theatres/images/1-G03-R.JPG
1,G04,Flat Room - Tables and Chairs,44,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Dual Screens,1.G05,https://ltc.uow.edu.au/theatres/images/1-G04-F_550x450.jpg,https://ltc.uow.edu.au/theatres/images/1-G04-R_550x450.jpg
1,G05,Flat Room - Tables and Chairs,42,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Dual Screens,1.G04,https://ltc.uow.edu.au/theatres/images/1-G05-F.jpeg,https://ltc.uow.edu.au/theatres/images/1-G05-R.jpeg
3,121,Flat Room - Tables and Chairs,66,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Document Camera,",,https://ltc.uow.edu.au/theatres/images/3-121-F.JPG,https://ltc.uow.edu.au/theatres/images/3-121-R.JPG
3,122,Flat Room - Tables and Chairs,36,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/3-122-F.JPG,https://ltc.uow.edu.au/theatres/images/3-122-R.JPG
3,123,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),Video Conferencing - Document Camera,,https://ltc.uow.edu.au/theatres/images/3-123-F.JPG,https://ltc.uow.edu.au/theatres/images/3-123-R.JPG
3,3-237,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Dual Screen - Digital Whiteboard,3-237A,https://ltc.uow.edu.au/theatres/images/3-237-F.JPG,https://ltc.uow.edu.au/theatres/images/3-237-R.JPG
3,3-237A,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Dual Screen - Digital Whiteboard,3-237,https://ltc.uow.edu.au/theatres/images/3-237A-F.JPG,https://ltc.uow.edu.au/theatres/images/3-237A-R.JPG
4,G31,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/4-G31-F.JPG,https://ltc.uow.edu.au/theatres/images/4-G31-R.JPG
6,210,Lecture Theatre,48,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"32-G01, 21-G08",https://ltc.uow.edu.au/theatres/images/6-210-F.JPG,https://ltc.uow.edu.au/theatres/images/6-210-R.JPG
8,G24,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/8-G24-F.JPG,https://ltc.uow.edu.au/theatres/images/8-G24-R.JPG
8,G25,Flat Room - Tables and Chairs,36,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/8-G25-F.JPG,https://ltc.uow.edu.au/theatres/images/8-G25-R.JPG
14,G01,Lecture Theatre,249,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities (Presenter Only) - Document Camera,20.4,https://ltc.uow.edu.au/theatres/images/14-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/14-G01-R.JPG
15,107,Flat Room - Tables and Chairs,20,No AV Equipment or Computer,Whiteboard Venue,,https://ltc.uow.edu.au/theatres/images/17-102-F.JPG,https://ltc.uow.edu.au/theatres/images/17-102-R.JPG
15,206,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/15-206-F.JPG,https://ltc.uow.edu.au/theatres/images/15-206-R.JPG
17,102,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/17-102-F.JPG,https://ltc.uow.edu.au/theatres/images/17-102-R.JPG
17,103,Computer Lab,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-103-F.JPG,https://ltc.uow.edu.au/theatres/images/17-103-R.JPG
17,104,Computer Lab,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-104-F.JPG,https://ltc.uow.edu.au/theatres/images/17-104-R.JPG
17,105,Computer Lab,42,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-105-F.JPG,https://ltc.uow.edu.au/theatres/images/17-105-R.JPG
17,106,Computer Lab,33,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-106-F.JPG,https://ltc.uow.edu.au/theatres/images/17-106-R.JPG
17,108,Computer Lab,32,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-108-F.JPG,https://ltc.uow.edu.au/theatres/images/17-108-R.JPG
17,109,Computer Lab,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-109-F.JPG,https://ltc.uow.edu.au/theatres/images/17-109-R.JPG
17,110A,Flat Room - Tables and Chairs,34,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-110A-F.JPG,https://ltc.uow.edu.au/theatres/images/17-110A-R.JPG
17,110B,Computer Lab,43,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/17-110B-F.JPG,https://ltc.uow.edu.au/theatres/images/17-110B-R.JPG
19,1001,Flat Room - Tables and Chairs,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/DSC06008.jpg,https://ltc.uow.edu.au/theatres/images/DSC06009.jpg
19,1002,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/DSC05358.jpg,https://ltc.uow.edu.au/theatres/images/DSC05355.jpg
19,1003,Flat Room - Tables and Chairs,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
19,1004,Flat Room - Tables and Chairs,22,Standard AV Equipment - Computer and Projector/Screen,,67.209,https://ltc.uow.edu.au/theatres/images/191004f.JPG,https://ltc.uow.edu.au/theatres/images/191004b.JPG
19,1056,Lecture Theatre,48,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),,19-G016,https://ltc.uow.edu.au/theatres/images/19g156f.JPG,https://ltc.uow.edu.au/theatres/images/19g156b.JPG
19,1064,Flat Room - Tables and Chairs,57,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Whiteboard Venue,67.208,https://ltc.uow.edu.au/theatres/images/19-1064-F.jpeg,https://ltc.uow.edu.au/theatres/images/19-1064-R.jpeg
19,1067,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-1067-F.JPG,https://ltc.uow.edu.au/theatres/images/19-1067-R.JPG
19,1083,Flat Room - Tables and Chairs,20,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/19-1083-F.JPG,https://ltc.uow.edu.au/theatres/images/19-1083-R.JPG
19,1084,Flat Room - Tables and Chairs,36,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/19-1084-F.JPG,https://ltc.uow.edu.au/theatres/images/19-1084-R.JPG
19,1098,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-1098-F.JPG,https://ltc.uow.edu.au/theatres/images/19-1098-R.JPG
19,2001,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-2001-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2001-R.JPG
19,2002,Flat Room - Tables and Chairs,24,No AV Equipment or Computer,Whiteboard Venue,,https://ltc.uow.edu.au/theatres/images/19-2002-F.jpeg,https://ltc.uow.edu.au/theatres/images/19-2002-R.jpeg
19,2003,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,19.2004,https://ltc.uow.edu.au/theatres/images/19-2003-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2003-R.JPG
19,2004,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,19.2003,https://ltc.uow.edu.au/theatres/images/19-2040-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2040-R.JPG
19,2040,Flat Room - Tables and Chairs,18,Standard AV Equipment - Computer and Projector/Screen,,19.2102,https://ltc.uow.edu.au/theatres/images/19-2040-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2040-R.JPG
19,2043,Flat Room - Tables and Chairs,18,Standard AV Equipment - Computer and Projector/Screen,,"19.2040, 19.2002",https://ltc.uow.edu.au/theatres/images/19-2043-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2043-R.JPG
19,2102,Flat Room - Tables and Chairs,24,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,19-2103,https://ltc.uow.edu.au/theatres/images/19-2102-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2102-R.JPG
19,2103,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,Hybrid/Dual Delivery (Interactive) - Video Conferencing,19-2102,https://ltc.uow.edu.au/theatres/images/19-2103-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2103-R.JPG
19,2104,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-2104-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2104-R.JPG
19,2106,Flat Room - Tables and Chairs,10,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities (Presenter Only) - Document Camera,,https://ltc.uow.edu.au/theatres/images/19-2106-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2106-R.JPG
19,2110,Flat Room - Tables and Chairs,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-2110-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2110-R.JPG
19,2114,Flat Room - Tables and Chairs,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/19-2114-F.JPG,https://ltc.uow.edu.au/theatres/images/19-2114-R.JPG
20,1,Lecture Theatre,232,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"20-2, 20-3, 20-4",https://ltc.uow.edu.au/theatres/images/20-1F.JPG,https://ltc.uow.edu.au/theatres/images/20-1R.JPG
20,2,Lecture Theatre,164,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"20-1, 20-3, 20-4",https://ltc.uow.edu.au/theatres/images/20-2F.JPG,https://ltc.uow.edu.au/theatres/images/20-2R.JPG
20,3,Lecture Theatre,164,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"20-1, 20-2,  20-4",https://ltc.uow.edu.au/theatres/images/20-3-F.JPG,https://ltc.uow.edu.au/theatres/images/20-3-R.JPG
20,4,Lecture Theatre,166,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),"Video Conference Facilities - Document Camera,","20-1, 20-2, 20-3",https://ltc.uow.edu.au/theatres/images/20-4-F.JPG,https://ltc.uow.edu.au/theatres/images/20-4-R.JPG
20,5,Lecture Theatre,98,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,40-131,https://ltc.uow.edu.au/theatres/images/20-5-F.JPG,https://ltc.uow.edu.au/theatres/images/20-5-R.JPG
21,114,Flat Room - Tables and Chairs,44,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,21-115,https://ltc.uow.edu.au/theatres/images/21-114-F.JPG,https://ltc.uow.edu.au/theatres/images/21-114-R.JPG
21,115,Flat Room - Tables and Chairs,44,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,21-114,https://ltc.uow.edu.au/theatres/images/21-115-F.JPG,https://ltc.uow.edu.au/theatres/images/21-115-R.JPG
21,G08,Lecture Theatre,72,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"32-G01, 6-210",https://ltc.uow.edu.au/theatres/images/21-G08-F.JPG,https://ltc.uow.edu.au/theatres/images/21-G08-R.JPG
22,G22,Flat Room - Tables and Chairs,40,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/22-G22-F.JPG,https://ltc.uow.edu.au/theatres/images/22-G22-R.JPG
22,G23,Flat Room - Tables and Chairs,14,Standard AV Equipment - Computer and Projector/Screen,Flat Room - Standard AV,,https://ltc.uow.edu.au/theatres/images/22-G23-F.JPG,https://ltc.uow.edu.au/theatres/images/22-G23-R.JPG
24,101,Flat Room - Tables and Chairs,30,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-101-F.JPG,https://ltc.uow.edu.au/theatres/images/24-101-R.JPG
24,102,Flat Room - Tables and Chairs,72,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-102-F.JPG,https://ltc.uow.edu.au/theatres/images/24-102-R.JPG
24,103,Flat Room - Tables and Chairs,40,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-103-F.JPG,https://ltc.uow.edu.au/theatres/images/24-103-R.JPG
24,104,Flat Room - Tables and Chairs,60,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-104-F.JPG,https://ltc.uow.edu.au/theatres/images/24-104-R.JPG
24,105,Flat Room - Tables and Chairs,32,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-105-F.JPG,https://ltc.uow.edu.au/theatres/images/24-105-R.JPG
24,201,Flat Room - Tables and Chairs,30,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-201-F.JPG,https://ltc.uow.edu.au/theatres/images/24-201-R.JPG
24,202,Flat Room - Tables and Chairs,40,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
24,203,Lecture Theatre,56,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/24-203-F.JPG,https://ltc.uow.edu.au/theatres/images/24-203-R.JPG
24,204,Flat Room - Tables and Chairs,32,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-204-F.JPG,https://ltc.uow.edu.au/theatres/images/24-204-R.JPG
24,G01,Flat Room - Tables and Chairs,80,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/24-G01-R.JPG
24,G02,Flat Room - Tables and Chairs,50,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-G02-F.JPG,https://ltc.uow.edu.au/theatres/images/24-G02-R.JPG
24,G03,Flat Room - Tables and Chairs,50,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,Bldg 24,https://ltc.uow.edu.au/theatres/images/24-G03-F.JPG,https://ltc.uow.edu.au/theatres/images/24-G03-R.JPG
25,107,Lecture Theatre,247,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/25-107-F.JPG,https://ltc.uow.edu.au/theatres/images/25-107-R.JPG
25,128,Lecture Theatre,61,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,40.131,https://ltc.uow.edu.au/theatres/images/25-128-F.JPG,https://ltc.uow.edu.au/theatres/images/25-128-R.JPG
25,150,Flat Room - Tables and Chairs,46,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/25-150-F.JPG,https://ltc.uow.edu.au/theatres/images/25-150-R.JPG
25,153,Flat Room - Tables and Chairs,32,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/25-153-F.JPG,https://ltc.uow.edu.au/theatres/images/25-153-R.JPG
25,159,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,Whiteboard Venue,,https://ltc.uow.edu.au/theatres/images/25-159-F.JPG,https://ltc.uow.edu.au/theatres/images/25-159-R.JPG
25,160,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,Whiteboard Venue,,https://ltc.uow.edu.au/theatres/images/25-160-F.JPG,https://ltc.uow.edu.au/theatres/images/25-160-R.JPG
25,G05,Flat Room - Tables and Chairs,46,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/25-G05-F.JPG,https://ltc.uow.edu.au/theatres/images/25-G05-R.JPG
28,101,Lecture Theatre,92,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/28-101-F.JPG,https://ltc.uow.edu.au/theatres/images/28-101-R.JPG
29,G08,Collaborative Teaching Venue,42,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G08-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G08-R.JPG
29,G09,Collaborative Teaching Venue,42,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G09-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G09-R.JPG
29,G10,Collaborative Teaching Venue,84,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/29-G10-F.JPG,https://ltc.uow.edu.au/theatres/images/29-G10-R.JPG
32,G01,Lecture Theatre,72,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,"6-210, 21-G08",https://ltc.uow.edu.au/theatres/images/32-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/32-G01-R.JPG
35,G20,Lecture Theatre,110,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Document Camera - Dual Screens,35-G45,https://ltc.uow.edu.au/theatres/images/35-G20-F.JPG,https://ltc.uow.edu.au/theatres/images/35-G20-R.JPG
