Building,Room,Type,Capacity,Equipment_Tier,Special_Features,Similar_Venues,Front_Image,Rear_Image
35,G45,Lecture Theatre,151,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Document Camera - Dual Screens,35-G20,https://ltc.uow.edu.au/theatres/images/35-G45-F.JPG,https://ltc.uow.edu.au/theatres/images/35-G45-R.JPG
38,G01,Lecture Theatre,112,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/38-G01-F.JPG,https://ltc.uow.edu.au/theatres/images/38-G01-R.JPG
40,122,Flat Room - Tables and Chairs,28,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/40-122-F.JPG,https://ltc.uow.edu.au/theatres/images/40-122-R.JPG
40,123,Flat Room - Tables and Chairs,34,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Whiteboard Venue - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-123-F.JPG,https://ltc.uow.edu.au/theatres/images/40-123-R.JPG
40,124,Flat Room - Tables and Chairs,26,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/40-124-F.JPG,https://ltc.uow.edu.au/theatres/images/40-124-R.JPG
40,125,Meeting Room,12,No AV Equipment or Computer,Meeting Room,,https://ltc.uow.edu.au/theatres/images/40-125-F.JPG,https://ltc.uow.edu.au/theatres/images/40-125-R.JPG
40,126,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/40-126-F.JPG,https://ltc.uow.edu.au/theatres/images/40-126-R.JPG
40,131,Lecture Theatre,70,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-131-F.JPG,https://ltc.uow.edu.au/theatres/images/40-131-R.JPG
40,153,Lecture Theatre,542,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/40-153-F.JPG,https://ltc.uow.edu.au/theatres/images/40-153-R.JPG
41,104,Flat Room - Tables and Chairs,50,Standard AV Equipment with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/41-104-F.JPG,https://ltc.uow.edu.au/theatres/images/41-104-R.JPG
41,107,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-107-F.JPG,https://ltc.uow.edu.au/theatres/images/41-107-R.JPG
41,153,Collaborative Teaching Venue,40,Standard AV Equipment - Computer and Projector/Screen,Document Camera,,https://ltc.uow.edu.au/theatres/images/41-153-F.jpeg,https://ltc.uow.edu.au/theatres/images/41-153-R.jpeg
41,202,Flat Room - Tables and Chairs,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-202-F.JPG,https://ltc.uow.edu.au/theatres/images/41202b.JPG
41,203,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/41-203-F.JPG,https://ltc.uow.edu.au/theatres/images/41-203-R.JPG
41,204,Flat Room - Tables and Chairs,20,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/41-204-F.JPG,https://ltc.uow.edu.au/theatres/images/41-204-R.JPG
67,101,Collaborative Teaching Venue,60,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-101-F.JPG,https://ltc.uow.edu.au/theatres/images/67-101-R.JPG
67,102,Flat Room - Tables and Chairs,66,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-102-F.JPG,https://ltc.uow.edu.au/theatres/images/67-102-R.JPG
67,104,Lecture Theatre,179,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-104-F.JPG,https://ltc.uow.edu.au/theatres/images/67-104-R.JPG
67,107,Lecture Theatre,383,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-107-F.JPG,https://ltc.uow.edu.au/theatres/images/67-107-R.JPG
67,201,Flat Room - Tables and Chairs,30,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/67-201-F.JPG,https://ltc.uow.edu.au/theatres/images/67-201-R.JPG
67,202,Flat Room - Tables and Chairs,50,Standard AV Equipment with Echo360 (Recording Facilities),Video Conference Facilities - Moot Court,,https://ltc.uow.edu.au/theatres/images/67-202-F.JPG,https://ltc.uow.edu.au/theatres/images/67-202-R.JPG
67,203,Flat Room - Tables and Chairs,40,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-203-F.JPG,https://ltc.uow.edu.au/theatres/images/67-203-R.JPG
67,208,Flat Room - Tables and Chairs,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/67-208-F.JPG,https://ltc.uow.edu.au/theatres/images/67-208-R.JPG
67,209,Flat Room - Tables and Chairs,18,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/67-209-F.JPG,https://ltc.uow.edu.au/theatres/images/67-209-R.JPG
67,301,Flat Room - Tables and Chairs,28,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-301-F.JPG,https://ltc.uow.edu.au/theatres/images/67-301-R.JPG
67,302,Flat Room - Tables and Chairs,60,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-302-F.JPG,https://ltc.uow.edu.au/theatres/images/67-302-R.JPG
67,303,Flat Room - Tables and Chairs,74,Hybrid/Dual Delivery (Interactive) with Echo360 (Recording Facilities),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/67-303-F.JPG,https://ltc.uow.edu.au/theatres/images/67-303-R.png
233,112,Flat Room - Tables and Chairs,48,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
233,115,Flat Room - Tables and Chairs,32,Standard AV Equipment with Echo360 (Recording Facilities),,,https://ltc.uow.edu.au/theatres/images/233_115_F.JPG,https://ltc.uow.edu.au/theatres/images/233_115_B.JPG
233,G01,Lecture Theatre,116,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/233_G01_F.JPG,https://ltc.uow.edu.au/theatres/images/233_G01_B.JPG
233,G12,Flat Room - Tables and Chairs,48,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/233_G12_F.JPG,https://ltc.uow.edu.au/theatres/images/233_G12_B.JPG
300,UG03,Lecture Theatre,116,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,GM13,https://ltc.uow.edu.au/theatres/images/UG03.JPG,https://ltc.uow.edu.au/theatres/images/
300,UG04,Flat Room - Tables and Chairs,34,Hybrid/ Dual Delivery (Interactive),,"UG30, UG27, NU02T",https://ltc.uow.edu.au/theatres/images/UG04.JPG,https://ltc.uow.edu.au/theatres/images/
300,UG05,Flat Room - Tables and Chairs,34,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Whiteboard Venue,,https://ltc.uow.edu.au/theatres/images/UG05.JPG,https://ltc.uow.edu.au/theatres/images/
300,UG26,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
300,UG27,Flat Room - Tables and Chairs,25,Hybrid/ Dual Delivery (Interactive),,"UG04, UG30, NU04",https://ltc.uow.edu.au/theatres/images/UG27.JPG,https://ltc.uow.edu.au/theatres/images/
300,UG28,Flat Room - Tables and Chairs,8,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
300,UG29,Computer Lab,7,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
302,LG-24,Flat Room - Tables and Chairs,24,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
303,TG-30,Flat Room - Tables and Chairs,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
304,G-13,Lecture Theatre,81,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
305,G-02,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
305,G-04,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G03,Computer Lab,27,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G04,Computer Lab,14,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G05,Flat Room - Tables and Chairs,22,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G07,Flat Room - Tables and Chairs,15,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G10,Flat Room - Tables and Chairs,10,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G11,Flat Room - Tables and Chairs,15,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,BE-G12,Flat Room - Tables and Chairs,36,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G03,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G05,Flat Room - Tables and Chairs,16,Standard AV Equipment - Computer and Projector/Screen,Video Conference Facilities (Presenter Only) - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G20,Computer Lab,16,Standard AV Equipment - Computer and Projector/Screen,Video Conference Facilities (Presenter Only) - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G21,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G22,Flat Room - Tables and Chairs,16,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
320,EU-G23,Flat Room - Tables and Chairs,30,Standard AV Equipment - Computer and Projector/Screen,Video Conference Facilities (Presenter Only) - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
340,BE-19LCS,Flat Room - Tables and Chairs,36,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
360,HI-G01,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
360,HI-G03,Flat Room - Tables and Chairs,24,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-103,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-104,Flat Room - Tables and Chairs,24,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-105,Flat Room - Tables and Chairs,32,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Document Camera,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-G03,Flat Room - Tables and Chairs,24,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-G04,Computer Lab,15,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
380,SU-G06,Flat Room - Tables and Chairs,50,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-230,Flat Room - Tables and Chairs,44,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-235,Flat Room - Tables and Chairs,24,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Dual Screens,Operable wall between 390-236,Combined Capacity - 54",,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-236,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Dual Screens,Operable Wall between 390-235,Combined Capacity - 54",,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-237,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Dual Screens,Operable Wall between 390-238,Combined Capacity - 60",,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-238,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),"Video Conference Facilities - Dual Screens,Operable Wall between 390-237,Combined Capacity - 60",,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-248,Flat Room - Tables and Chairs,18,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-249,Flat Room - Tables and Chairs,18,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-250,Flat Room - Tables and Chairs,18,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-304,Collaborative Teaching Venue,42,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-305,Computer Lab,30,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
390,390-306,Flat Room - Tables and Chairs,42,Hybrid/ Dual Delivery (Interactive),Video Conference Facilities - Dual Screens,,https://ltc.uow.edu.au/theatres/images/,https://ltc.uow.edu.au/theatres/images/
400,LP_400-105,Flat Room - Tables and Chairs,46,Hybrid/ Dual Delivery (Interactive),Combinable with LP_400-106 ,,https://ltc.uow.edu.au/theatres/images/LP_400-105-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-105_R.jpg
400,LP_400-106,Flat Room - Tables and Chairs,38,Hybrid/ Dual Delivery (Interactive),Combinable with LP_400-105 ,,https://ltc.uow.edu.au/theatres/images/LP_400-106-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-106-R.jpg
400,LP_400-107,Flat Room - Tables and Chairs,30,Hybrid/ Dual Delivery (Interactive),Combinable with LP_400-105 ,,https://ltc.uow.edu.au/theatres/images/LP_400-107-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-107-R.jpg
400,LP_400-206,Flat Room - Tables and Chairs,50,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-206-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-206-R.jpg
400,LP_400-207,Computer Lab,20,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/LP_400-207-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-207-R.jpg
400,LP_400-208,Computer Lab,38,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/LP_400-208-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-208-R.jpg
400,LP_400-209,Flat Room - Tables and Chairs,38,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-209-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-209-R.jpg
400,LP_400-319,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-319-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-319-R.jpg
400,LP_400-320,Flat Room - Tables and Chairs,40,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-320-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-320-R.jpg
400,LP_400-321,Flat Room - Tables and Chairs,43,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-321-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-321-R.jpg
400,LP_400-325,Flat Room - Tables and Chairs,38,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-325-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-325-R.jpg
400,LP_400-505,Flat Room - Tables and Chairs,44,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-505-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-505-R.jpg
400,LP_400-506,Flat Room - Tables and Chairs,36,Hybrid/ Dual Delivery (Interactive),Combinable with LP_400-507,,https://ltc.uow.edu.au/theatres/images/LP_400-506-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-506-R.jpg
400,LP_400-507,Flat Room - Tables and Chairs,44,Hybrid/ Dual Delivery (Interactive),Combinable with LP_400-506,,https://ltc.uow.edu.au/theatres/images/LP_400-507-F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-507-R.jpg
400,LP_400-513,Computer Lab,28,Standard AV Equipment - Computer and Projector/Screen,,,https://ltc.uow.edu.au/theatres/images/LP_400-513_R.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-513_R.jpg
400,LP_400-633,Flat Room - Tables and Chairs,36,Hybrid/ Dual Delivery (Interactive),,,https://ltc.uow.edu.au/theatres/images/LP_400-366_F.jpg,https://ltc.uow.edu.au/theatres/images/LP_400-366_R.jpg
